123,TL Suman,Mumbai Indians,Ankit Sharma
124,TL Suman,Mumbai Indians,Ankit Sharma
125,TL Suman,Mumbai Indians,Ankit Sharma
126,TL Suman,Mumbai Indians,Ankit Sharma
127,RE Levi,Mumbai Indians,Ankit Sharma
128,TL Suman,Mumbai Indians,Ankit Sharma
129,RE Levi,Mumbai Indians,DW Steyn
130,TL Suman,Mumbai Indians,DW Steyn
131,TL Suman,Mumbai Indians,DW Steyn
132,TL Suman,Mumbai Indians,DW Steyn
133,TL Suman,Mumbai Indians,DW Steyn
134,RG Sharma,Mumbai Indians,DW Steyn
135,RG Sharma,Mumbai Indians,Ankit Sharma
136,RG Sharma,Mumbai Indians,Ankit Sharma
137,RG Sharma,Mumbai Indians,Ankit Sharma
138,RG Sharma,Mumbai Indians,Ankit Sharma
139,RG Sharma,Mumbai Indians,Ankit Sharma
140,RE Levi,Mumbai Indians,Ankit Sharma
141,RE Levi,Mumbai Indians,DW Steyn
142,RE Levi,Mumbai Indians,DW Steyn
143,RE Levi,Mumbai Indians,DW Steyn
144,RE Levi,Mumbai Indians,DW Steyn
145,RE Levi,Mumbai Indians,DW Steyn
146,RE Levi,Mumbai Indians,DW Steyn
147,RG Sharma,Mumbai Indians,Ankit Sharma
148,RG Sharma,Mumbai Indians,Ankit Sharma
149,AT Rayudu,Mumbai Indians,Ankit Sharma
150,AT Rayudu,Mumbai Indians,Ankit Sharma
151,AT Rayudu,Mumbai Indians,Ankit Sharma
152,AT Rayudu,Mumbai Indians,Ankit Sharma
153,RG Sharma,Mumbai Indians,DT Christian
154,RG Sharma,Mumbai Indians,DT Christian
155,RG Sharma,Mumbai Indians,DT Christian
156,AT Rayudu,Mumbai Indians,DT Christian
157,AT Rayudu,Mumbai Indians,DT Christian
158,RG Sharma,Mumbai Indians,DT Christian
159,AT Rayudu,Mumbai Indians,Anand Rajan
160,RG Sharma,Mumbai Indians,Anand Rajan
161,RG Sharma,Mumbai Indians,Anand Rajan
162,AT Rayudu,Mumbai Indians,Anand Rajan
